symbol,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31
AMPE,,,,,,,,,,,,
AMPY,,,,,,,,,,,,
APHB,,,,,,,,,,,,
AXR,,,,,,,,,,,,
ASYS,,,,,,,,,,,,
AFSI^A,,,,,,,,,,,,
AFSI^B,,,,,,,,,,,,
AFSI^D,,,,,,,,,,,,
AFSI^E,,,,,,,,,,,,
AFSI^F,,,,,,,,,,,,
AFSS,,,,,,,,,,,,
AFST,,,,,,,,,,,,
AFSI,,,,,,,,,,,,
AFSI^C,,,,,,,,,,,,
AFS-A,,,,,,,,,,,,
AFS-F,,,,,,,,,,,,
AMRS,,,,,,,,,,,,
AEUA,,,,,,,,,,,,
APC,,,,,,,,,,,,
ADI,,,,,,,,,,,,
ALOG,,,,,,,,,,,,
ANAB,,,,,,,,,,,,
AVXL,,,,,,,,,,,,
ANCB,,,,,,,,,,,,
AHCP,,,,,,,,,,,,
ANDV,,,,,,,,,,,,
ANDX,,,,,,,,,,,,
ANDE,,,,,,,,,,,,
ANGO,,,,,,,,,,,,
AGGX,,,,,,,,,,,,
SOAN,,,,,,,,,,,,
AU,,,,,,,,,,,,
AULGF,,,,,,,,,,,,
ANIP,,,,,,,,,,,,
ANIK,,,,,,,,,,,,
AXE,,,,,,,,,,,,
NLY,,,,,,,,,,,,
NLY^F,,,,,,,,,,,,
NLY-D,,,,,,,,,,,,
NLY^C,,,,,,,,,,,,
NLY^D,,,,,,,,,,,,
NLY^G,,,,,,,,,,,,
NLY-C,,,,,,,,,,,,
ANSS,,,,,,,,,,,,
ATRS,,,,,,,,,,,,
AMGP,,,,,,,,,,,,
AM,,,,,,,,,,,,
AR,,,,,,,,,,,,
ANTM,,,,,,,,,,,,
ANTX,,,,,,,,,,,,
ANTH,,,,,,,,,,,,
ANVV,,,,,,,,,,,,
ANH,,,,,,,,,,,,
AON,,,,,,,,,,,,
AOXG,,,,,,,,,,,,
APA,,,,,,,,,,,,
